,hannanum,kkma,komoran,okt
54,"('하고', 'JC')","('고', 'ECE')","('사용', 'NNG')","('점', 'Noun')"
55,"('싶', 'PX')","('싶', 'VXA')","('하', 'XSV')","('을', 'Josa')"
56,"('어', 'EC')","('어', 'ECD')","('고', 'EC')","('고려', 'Noun')"
57,"('하', 'PV')","('하', 'VV')","('싶', 'VX')","('하지', 'Verb')"
58,"('는', 'ET')","('는', 'ETD')","('어', 'EC')","('않았어', 'Verb')"
59,"('학생들', 'NC')","('학생', 'NNG')","('하', 'VV')","('.', 'Punctuation')"
60,"('이', 'JC')","('들', 'XSN')","('는', 'ETM')","('상대방', 'Noun')"
61,"('많', 'PA')","('이', 'JKS')","('학생', 'NNG')","('의', 'Josa')"
62,"('다', 'EF')","('많', 'VA')","('들', 'XSN')","('입장', 'Noun')"
63,"('는', 'ET')","('다는', 'ETD')","('이', 'JKS')","('을', 'Josa')"
64,"('점', 'NB')","('점', 'NNG')","('많', 'VA')","('배려', 'Noun')"
65,"('을', 'JC')","('을', 'JKO')","('다는', 'ETM')","('하며', 'Verb')"
66,"('고', 'PV')","('고려', 'NNP')","('점', 'NNB')","('방안', 'Noun')"
67,"('려', 'EC')","('하', 'XSV')","('을', 'JKO')","('을', 'Josa')"
68,"('하', 'PX')","('지', 'ECD')","('고려', 'NNG')","('찾아야', 'Verb')"
69,"('지', 'EC')","('않', 'VXV')","('하', 'XSV')","('했어', 'Verb')"
70,"('않', 'PX')","('았', 'EPT')","('지', 'EC')","('.', 'Punctuation')"
71,"('아', 'EP')","('어', 'EFN')","('않', 'VX')","('\n', 'Foreign')"
72,"('아', 'EF')","('.', 'SF')","('았', 'EP')",-
73,"('.', 'SF')","('상대방', 'NNG')","('어', 'EF')",-
74,"('상대방', 'NC')","('의', 'JKG')","('.', 'SF')",-
75,"('의', 'JC')","('입장', 'NNG')","('상대방', 'NNG')",-
76,"('입장', 'NC')","('을', 'JKO')","('의', 'JKG')",-
77,"('을', 'JC')","('배려', 'NNG')","('입장', 'NNG')",-
78,"('배', 'PV')","('하', 'XSV')","('을', 'JKO')",-
79,"('려', 'EC')","('며', 'ECE')","('배려', 'NNG')",-
80,"('하', 'PX')","('방안', 'NNG')","('하', 'XSV')",-
81,"('며', 'EC')","('을', 'JKO')","('며', 'EC')",-
82,"('방안', 'NC')","('찾', 'VV')","('방안', 'NNG')",-
83,"('을', 'JC')","('아야', 'ECD')","('을', 'JKO')",-
84,"('찾', 'PV')","('하', 'VV')","('찾', 'VV')",-
85,"('아', 'EC')","('었', 'EPT')","('아야', 'EC')",-
86,"('하', 'PX')","('어', 'EFN')","('하', 'VV')",-
87,"('었', 'EP')","('.', 'SF')","('았', 'EP')",-
88,"('어', 'EF')",-,"('어', 'EF')",-
89,"('.', 'SF')",-,"('.', 'SF')",-
0,"('나', 'PX')","('나', 'NP')","('나', 'VV')","('난', 'Noun')"
1,"('ㄴ', 'ET')","('는', 'JX')","('ㄴ', 'ETM')","('점심시간', 'Noun')"
2,"('점심시간', 'NC')","('점심시간', 'NNG')","('점심시간', 'NNG')","('에', 'Josa')"
3,"('에', 'JC')","('에', 'JKM')","('에', 'JKB')","('다', 'Adverb')"
4,"('다목적실', 'NC')","('다목적', 'NNG')","('다목적', 'NNG')","('목적', 'Noun')"
5,"('을', 'JC')","('실', 'NNG')","('실', 'NNG')","('실', 'Noun')"
6,"('학습', 'NC')","('을', 'JKO')","('을', 'JKO')","('을', 'Josa')"
7,"('공간', 'NC')","('학습', 'NNG')","('학습', 'NNG')","('학습', 'Noun')"
8,"('으로', 'JC')","('공간', 'NNG')","('공간', 'NNG')","('공간', 'Noun')"
9,"('편리', 'NC')","('으로', 'JKM')","('으로', 'JKB')","('으로', 'Josa')"
10,"('하', 'XS')","('편리', 'NNG')","('편리', 'NNG')","('편리하게', 'Adjective')"
11,"('게', 'EC')","('하', 'XSV')","('하', 'XSV')","('이용', 'Noun')"
12,"('이용', 'NC')","('게', 'ECD')","('게', 'EC')","('할', 'Verb')"
13,"('하', 'XS')","('이용', 'NNG')","('이용', 'NNG')","('수', 'Noun')"
14,"('ㄹ', 'ET')","('하', 'XSV')","('하', 'XSV')","('있어서', 'Adjective')"
15,"('수', 'NB')","('ㄹ', 'ETD')","('ㄹ', 'ETM')","('정말', 'Noun')"
16,"('있', 'PX')","('수', 'NNB')","('수', 'NNB')","('좋았거든', 'Adjective')"
17,"('어서', 'EC')","('있', 'VV')","('있', 'VV')","('.', 'Punctuation')"
18,"('정말', 'MA')","('어서', 'ECD')","('어서', 'EC')","('그래서', 'Adverb')"
19,"('좋', 'PA')","('정말', 'MAG')","('정말', 'MAG')","('다', 'Adverb')"
20,"('아', 'EP')","('좋', 'VA')","('좋', 'VA')","('목적', 'Noun')"
21,"('거든', 'EF')","('았', 'EPT')","('았', 'EP')","('실', 'Noun')"
22,"('.', 'SF')","('거든', 'EFN')","('거든', 'EF')","('을', 'Josa')"
23,"('그래서', 'MA')","('.', 'SF')","('.', 'SF')","('학생', 'Noun')"
24,"('다목적실', 'NC')","('그래서', 'MAG')","('그래서', 'MAJ')","('휴게실', 'Noun')"
25,"('을', 'JC')","('다목적', 'NNG')","('다목적', 'NNG')","('로', 'Josa')"
26,"('학생', 'NC')","('실', 'NNG')","('실', 'NNG')","('바꾸자는', 'Verb')"
27,"('휴게실', 'NC')","('을', 'JKO')","('을', 'JKO')","('주장', 'Noun')"
28,"('로', 'JC')","('학생', 'NNG')","('학생', 'NNG')","('에', 'Josa')"
29,"('바꾸', 'PV')","('휴게실', 'NNG')","('휴게실', 'NNP')","('거부', 'Noun')"
30,"('자', 'EF')","('로', 'JKM')","('로', 'JKB')","('감', 'Noun')"
31,"('는', 'ET')","('바꾸', 'VV')","('바꾸', 'VV')","('이', 'Josa')"
32,"('주장', 'NC')","('자고', 'ECD')","('자는', 'ETM')","('들었어', 'Verb')"
33,"('에', 'JC')","('하', 'VV')","('주장', 'NNG')","('.', 'Punctuation')"
34,"('거부감', 'NC')","('는', 'ETD')","('에', 'JKB')","('하지만', 'Conjunction')"
35,"('이', 'JC')","('주장', 'NNG')","('거부감', 'NNG')","('글', 'Noun')"
36,"('들', 'PV')","('에', 'JKM')","('이', 'JKS')","('에도', 'Josa')"
37,"('었', 'EP')","('거부감', 'NNG')","('들', 'VV')","('나왔듯이', 'Verb')"
38,"('어', 'EF')","('이', 'JKS')","('었', 'EP')","('다', 'Adverb')"
39,"('.', 'SF')","('듣', 'VV')","('어', 'EF')","('목적', 'Noun')"
40,"('하', 'PV')","('었', 'EPT')","('.', 'SF')","('실', 'Noun')"
41,"('지만', 'EC')","('어', 'EFN')","('하지만', 'MAJ')","('은', 'Josa')"
42,"('글', 'NC')","('.', 'SF')","('글', 'NNG')","('학생', 'Noun')"
43,"('에', 'JC')","('하지만', 'MAC')","('에', 'JKB')","('모두', 'Noun')"
44,"('도', 'JX')","('글', 'NNG')","('도', 'JX')","('의', 'Josa')"
45,"('나', 'PV')","('에', 'JKM')","('나오', 'VV')","('복지', 'Noun')"
