,hannanum,kkma,komoran,okt
191,"('.', 'SF')","('의', 'JKG')","('들', 'XSN')","('시', 'Modifier')"
192,"('독자', 'NC')","('경험', 'NNG')","('의', 'JKG')","('간이', 'Noun')"
193,"('의', 'JC')","('과', 'JKM')","('만남', 'NNG')","('어', 'Suffix')"
194,"('경험', 'NC')","('책', 'NNG')","('은', 'JX')","('야', 'Josa')"
195,"('과', 'JC')","('에', 'JKM')","('성찰', 'NNG')","('한다', 'Verb')"
196,"('책', 'NC')","('담기', 'VV')","('의', 'JKG')","('.', 'Punctuation')"
197,"('에', 'JC')","('ㄴ', 'ETD')","('기회', 'NNG')","('이', 'Noun')"
198,"('담기', 'PV')","('수많', 'VA')","('를', 'JKO')","('들', 'Suffix')"
199,"('ㄴ', 'ET')","('은', 'ETD')","('제공', 'NNG')","('이', 'Josa')"
200,"('수많', 'PA')","('경험', 'NNG')","('하', 'XSV')","('책', 'Noun')"
201,"('은', 'ET')","('들', 'XSN')","('ㅁ', 'ETN')","('을', 'Josa')"
202,"('경험', 'NC')","('의', 'JKG')","('으로써', 'JKB')","('찾은', 'Verb')"
203,"('들', 'XS')","('만남', 'NNG')","('독자', 'NNG')","('것', 'Noun')"
204,"('의', 'JC')","('은', 'JX')","('의', 'JKG')","('도', 'Josa')"
205,"('만나', 'PV')","('성찰', 'NNG')","('내면', 'NNG')","('혼란', 'Noun')"
206,"('ㅁ', 'ET')","('의', 'JKG')","('을', 'JKO')","('스러운', 'Josa')"
207,"('은', 'JX')","('기회', 'NNG')","('성장', 'NNG')","('현실', 'Noun')"
208,"('성찰', 'NC')","('를', 'JKO')","('시키', 'XSV')","('을', 'Josa')"
209,"('의', 'JC')","('제공', 'NNG')","('어', 'EC')","('외면', 'Noun')"
210,"('기회', 'NC')","('하', 'XSV')","('삶', 'NNG')","('하려', 'Verb')"
211,"('를', 'JC')","('ㅁ', 'ETN')","('을', 'JKO')","('한', 'Verb')"
212,"('제공', 'NC')","('으로써', 'JKM')","('바꾸', 'VV')","('것', 'Noun')"
213,"('하', 'XS')","('독자', 'NNG')","('ㄴ다', 'EF')","('이', 'Josa')"
214,"('ㅁ', 'ET')","('의', 'JKG')","('.', 'SF')","('아니라', 'Adjective')"
215,"('으로써', 'JC')","('내면', 'NNP')","('이런', 'MM')","('자신', 'Noun')"
216,"('독자', 'NC')","('을', 'JKO')","('의미', 'NNG')","('의', 'Josa')"
217,"('의', 'JC')","('성장', 'NNG')","('에서', 'JKB')","('삶', 'Noun')"
218,"('내면', 'NC')","('시키', 'XSV')","('독서', 'NNG')","('에', 'Josa')"
219,"('을', 'JC')","('어', 'ECS')","('는', 'JX')","('대한', 'Noun')"
220,"('성장', 'NC')","('삶', 'NNG')","('자기', 'NP')","('숙고', 'Noun')"
221,"('시키', 'XS')","('을', 'JKO')","('성찰', 'NNG')","('의', 'Josa')"
222,"('어', 'EC')","('바꾸', 'VV')","('의', 'JKG')","('시간', 'Noun')"
223,"('삶', 'NC')","('ㄴ다', 'EFN')","('행위', 'NNG')","('이', 'Josa')"
224,"('을', 'JC')","('.', 'SF')","('이', 'VCP')","('필요했기', 'Adjective')"
225,"('바꾸', 'PV')","('이런', 'MDT')","('며', 'EC')","('때문', 'Noun')"
226,"('ㄴ다', 'EF')","('의미', 'NNG')","('성찰', 'NNG')","('이다', 'Josa')"
227,"('.', 'SF')","('에서', 'JKM')","('의', 'JKG')","('.', 'Punctuation')"
228,"('이런', 'MM')","('독서', 'NNG')","('시간', 'NNG')","('또한', 'Noun')"
229,"('의미', 'NC')","('는', 'JX')","('은', 'JX')","('독서', 'Noun')"
230,"('에서', 'JC')","('자기', 'NP')","('깊이', 'MAG')","('는', 'Josa')"
231,"('독', 'NC')","('성찰', 'NNG')","('사색', 'NNG')","('자신', 'Noun')"
232,"('서', 'JC')","('의', 'JKG')","('하', 'XSV')","('을', 'Josa')"
233,"('는', 'JX')","('행위', 'NNG')","('고', 'EC')","('둘러싼', 'Verb')"
234,"('자기', 'NP')","('이', 'VCP')","('스스로', 'NNG')","('현실', 'Noun')"
235,"('성찰', 'NC')","('며', 'ECE')","('에게', 'JKB')","('을', 'Josa')"
236,"('의', 'JC')","('성찰', 'NNG')","('질문', 'NNG')","('올바로', 'Noun')"
237,"('행위', 'NC')","('의', 'JKG')","('을', 'JKO')","('인식', 'Noun')"
238,"('이', 'JP')","('시간', 'NNG')","('던지', 'VV')","('하고', 'Josa')"
239,"('며', 'EC')","('은', 'JX')","('는', 'ETM')","('당면', 'Noun')"
240,"('성찰', 'NC')","('깊이', 'MAG')","('시간', 'NNG')","('한', 'Josa')"
241,"('의', 'JC')","('사색', 'NNG')","('이', 'VCP')","('문제', 'Noun')"
242,"('시간', 'NB')","('하', 'XSV')","('어야', 'EC')","('를', 'Josa')"
243,"('은', 'JX')","('고', 'ECE')","('하', 'VX')","('해결', 'Noun')"
244,"('깊이', 'MA')","('스스로', 'NNG')","('ㄴ다', 'EF')","('할', 'Verb')"
245,"('사색', 'NC')","('에게', 'JKM')","('.', 'SF')","('논리', 'Noun')"
246,"('하고', 'JC')","('질문', 'NNG')","('이', 'NP')","('와', 'Josa')"
247,"('스스로', 'NP')","('을', 'JKO')","('들', 'XSN')","('힘', 'Noun')"
248,"('에게', 'JC')","('던지', 'VV')","('이', 'JKS')","('을', 'Josa')"
249,"('질문', 'NC')","('는', 'ETD')","('책', 'NNG')","('지니', 'Noun')"
250,"('을', 'JC')","('시간', 'NNG')","('을', 'JKO')","('게', 'Josa')"
251,"('던지', 'PV')","('이', 'VCP')","('찾', 'VV')","('한다', 'Verb')"
252,"('는', 'ET')","('어야', 'ECD')","('은', 'ETM')","('.', 'Punctuation')"
253,"('시간', 'NC')","('하', 'VV')","('것', 'NNB')","('책', 'Noun')"
254,"('이', 'JP')","('ㄴ다', 'EFN')","('도', 'JX')","('은', 'Josa')"
255,"('어야', 'EC')","('.', 'SF')","('혼란', 'NNG')","('세상', 'Noun')"
256,"('하', 'PX')","('이', 'NP')","('스럽', 'XSA')","('에', 'Josa')"
257,"('ㄴ다', 'EF')","('들', 'XSN')","('ㄴ', 'ETM')","('대한', 'Noun')"
258,"('.', 'SF')","('이', 'JKS')","('현실', 'NNG')","('안목', 'Noun')"
259,"('이', 'NC')","('책', 'NNG')","('을', 'JKO')","('을', 'Josa')"
260,"('들', 'XS')","('을', 'JKO')","('외면', 'NNG')","('키우는', 'Verb')"
261,"('이', 'JC')","('찾', 'VV')","('하', 'XSV')","('데', 'Noun')"
262,"('책', 'NC')","('은', 'ETD')","('려', 'EC')","('필요한', 'Adjective')"
263,"('을', 'JC')","('것', 'NNB')","('한', 'MM')","('지식', 'Noun')"
264,"('찾', 'PV')","('도', 'JX')","('것', 'NNB')","('을', 'Josa')"
